Date,USDi,NZDi,GBPi,NOKi,JPYi,CADi,AUDi,CHFi,SEKi,EURi
2002-04-30,1.87,5.68,4.17319,6.77,0.1,2.402727,4.59,1.447129,4.25,3.4069
2002-05-31,1.82,5.83,4.1537,6.9,0.08,2.610909,4.84,1.124678,4.29,3.4671
2002-06-30,1.81,5.96,4.17758,7.12,0.09,2.789,5.07,1.138108,4.28,3.464
2002-07-31,1.79,6.0,4.06054,7.25,0.09,2.875909,4.98,0.704178,4.26,3.41
2002-08-31,1.73,5.87,3.98654,7.26,0.07,2.945714,4.96,0.620826,4.19,3.3519
2002-09-30,1.76,5.86,3.98872,7.15,0.08,2.9155,4.92,0.606619,4.17,3.3101
2002-10-31,1.73,5.88,3.96401,7.12,0.08,2.880909,4.9,0.602483,4.07,3.2613
2002-11-30,1.39,5.9,3.97142,7.09,0.08,2.836,4.84,0.601656,3.91,3.1241
2002-12-31,1.34,5.92,4.01777,6.62,0.1,2.857,4.83,0.4675,3.67,2.941
2003-01-31,1.29,5.86,3.98263,5.99,0.1,2.87,4.8,0.502632,3.65,2.8318
2003-02-28,1.27,5.82,3.75425,5.69,0.09,2.921,4.75,0.482395,3.61,2.6875
2003-03-31,1.23,5.81,3.65503,5.49,0.08,3.201905,4.76,0.176613,3.4,2.53
2003-04-30,1.24,5.73,3.64598,5.26,0.08,3.301905,4.79,0.169372,3.42,2.5333
2003-05-31,1.22,5.38,3.63252,4.92,0.08,3.322857,4.78,0.162716,3.18,2.4005
2003-06-30,1.04,5.23,3.63966,4.04,0.09,3.215714,4.67,0.164295,2.81,2.1519
2003-07-31,1.05,5.11,3.49022,3.45,0.09,3.010455,4.72,0.159799,2.68,2.13
2003-08-31,1.08,5.11,3.52249,3.14,0.09,2.854211,4.82,0.145384,2.71,2.1404
2003-09-30,1.08,5.15,3.6967,2.81,0.09,2.712857,4.91,0.125374,2.71,2.1473
2003-10-31,1.1,5.19,3.80338,2.86,0.09,2.695,4.97,0.130071,2.73,2.1436
2003-11-30,1.11,5.37,3.98043,2.89,0.08,2.76,5.31,0.149284,2.72,2.159
2003-12-31,1.1,5.32,4.01864,2.64,0.1,2.707143,5.47,0.127889,2.7,2.1463
2004-01-31,1.06,5.35,4.05531,2.26,0.09,2.508095,5.55,0.119652,2.6,2.0895
2004-02-29,1.05,5.59,4.16654,2.01,0.09,2.323,5.57,0.155258,2.46,2.0705
2004-03-31,1.05,5.54,4.29673,1.84,0.08,2.159565,5.51,0.155299,2.36,2.0288
2004-04-30,1.08,5.59,4.39472,1.97,0.08,2.068571,5.54,0.186379,2.02,2.0488
2004-05-31,1.2,5.9,4.52872,1.99,0.08,2.0675,5.51,0.179594,1.99,2.0859
2004-06-30,1.46,6.07,4.78974,2.03,0.09,2.101818,5.49,0.416011,1.98,2.1127
2004-07-31,1.57,6.25,4.85702,2.02,0.09,2.105238,5.46,0.45557,1.99,2.116
2004-08-31,1.68,6.44,4.96284,2.02,0.09,2.145238,5.44,0.540374,1.99,2.1143
2004-09-30,1.86,6.64,4.9469,1.96,0.09,2.412857,5.42,0.608337,2.0,2.1186
2004-10-31,2.04,6.75,4.90071,2.0,0.09,2.575,5.41,0.63502,1.99,2.1473
2004-11-30,2.26,6.72,4.88359,1.99,0.09,2.703809,5.43,0.646169,1.99,2.1703
2004-12-31,2.45,6.71,4.87103,1.99,0.1,2.571905,5.41,0.604167,2.0,2.1732
2005-01-31,2.61,6.76,4.87316,1.96,0.1,2.564,5.42,0.665596,2.0,2.1454
2005-02-28,2.77,6.83,4.89069,1.92,0.1,2.5825,5.63,0.685385,1.97,2.1383
2005-03-31,2.97,6.99,4.98736,2.02,0.08,2.625909,5.81,0.686455,1.97,2.1372
2005-04-30,3.09,7.05,4.94336,2.05,0.08,2.584762,5.75,0.664897,1.99,2.1372
2005-05-31,3.22,7.05,4.89375,2.08,0.08,2.58619,5.68,0.672308,1.9,2.1256
2005-06-30,3.38,7.03,4.84144,2.15,0.09,2.583182,5.66,0.663959,1.65,2.111
2005-07-31,3.57,7.03,4.65794,2.22,0.09,2.631,5.65,0.673901,1.48,2.1194
2005-08-31,3.77,7.03,4.59465,2.25,0.09,2.77,5.62,0.681105,1.48,2.1325
2005-09-30,3.87,7.09,4.59686,2.35,0.09,2.89,5.62,0.708462,1.47,2.1391
2005-10-31,4.13,7.28,4.58701,2.45,0.09,3.099,5.63,0.766206,1.49,2.1966
2005-11-30,4.31,7.54,4.61847,2.54,0.09,3.295714,5.63,0.939903,1.51,2.3609
2005-12-31,4.45,7.66,4.63732,2.55,0.1,3.469,5.63,0.885,1.69,2.4729
2006-01-31,4.56,7.64,4.60368,2.52,0.1036,3.618572,5.63,0.937614,1.83,2.5117
2006-02-28,4.72,7.53,4.58199,2.57,0.11,3.763,5.61,1.072762,1.93,2.6004
2006-03-31,4.88,7.49,4.58741,2.72,0.1255,3.94087,5.61,1.149522,1.96,2.7226
2006-04-30,5.03,7.47,4.6296,2.82,0.14,4.122632,5.69,1.230501,2.05,2.7938
2006-05-31,5.15,7.49,4.7015,2.94,0.27,4.258636,5.87,1.321969,2.11,2.889
2006-06-30,5.35,7.47,4.73498,3.03,0.35,4.417727,5.96,1.401813,2.21,2.9857
2006-07-31,5.46,7.48,4.73322,3.09,0.44,4.378,6.05,1.449784,2.28,3.1022
2006-08-31,5.38,7.49,4.94425,3.23,0.432,4.344091,6.19,1.595433,2.43,3.2265
2006-09-30,5.34,7.56,5.02501,3.37,0.436,4.3215,6.21,1.717804,2.54,3.3354
2006-10-31,5.33,7.66,5.13176,3.48,0.447,4.327619,6.28,1.758905,2.74,3.502
2006-11-30,5.32,7.61,5.22544,3.62,0.502,4.312381,6.37,1.844579,2.9,3.5972
2006-12-31,5.32,7.66,5.29167,3.8,0.54,4.320588,6.39,2.000507,3.0,3.6842
2007-01-31,5.32,7.7,5.48623,3.98,0.54,4.333636,6.43,2.076484,3.21,3.7519
