Date,USD,EUR,JPY,GBP,AUD,CAD,NZD,SEK,NOK,VIX,USDi,NZDi,GBPi,NOKi,JPYi,CADi,AUDi,CHFi,SEKi,EURi
2002-04-30,1.6216,1.45976432,0.0126243674581549,2.3618604,0.8711235199999999,1.0341177220840507,0.72517952,0.1577431906614786,0.1929327781082689,21.91,1.87,5.68,4.17319,6.77,0.1,2.402727,4.59,1.447129,4.25,3.4069
2002-05-31,1.5693,1.4655692699999998,0.0126423910416498,2.29510125,0.8882237999999999,1.0273649754500818,0.7516946999999999,0.1610446918774693,0.1961012183692596,19.98,1.82,5.83,4.1537,6.9,0.08,2.610909,4.84,1.124678,4.29,3.4671
2002-06-30,1.492,1.4705152,0.0124488944513975,2.274554,0.8396975999999999,0.9822251481237656,0.725112,0.1620506136635168,0.1982987772461456,25.4,1.81,5.96,4.17758,7.12,0.09,2.789,5.07,1.138108,4.28,3.464
2002-07-31,1.4833,1.4530406800000002,0.012384570426651,2.31765625,0.80765685,0.9361312716945408,0.6949260500000001,0.1558906988964792,0.1946587926509186,32.03,1.79,6.0,4.06054,7.25,0.09,2.875909,4.98,0.704178,4.26,3.41
2002-08-31,1.5007,1.47158642,0.0126364095655102,2.32248332,0.8246346499999999,0.962913057427013,0.7021775299999999,0.1596489361702127,0.1991216198285699,32.64,1.73,5.87,3.98654,7.26,0.07,2.945714,4.96,0.620826,4.19,3.3519
2002-09-30,1.4758,1.45794282,0.0121225562674552,2.317006,0.80121182,0.9303410451995208,0.69333084,0.1591330601682122,0.1991632928475033,39.69,1.76,5.86,3.98872,7.15,0.08,2.9155,4.92,0.606619,4.17,3.3101
2002-10-31,1.4805,1.46288205,0.0120581527936145,2.3140215,0.8213813999999999,0.9484304932735426,0.7189308,0.1611253196930946,0.1985782308362953,31.14,1.73,5.88,3.96401,7.12,0.08,2.880909,4.9,0.602483,4.07,3.2613
2002-11-30,1.486,1.4758952,0.0121088657105606,2.3111758,0.8323086000000001,0.9490356367352152,0.740028,0.1637285147642133,0.2026179438232888,27.5,1.39,5.9,3.97142,7.09,0.08,2.836,4.84,0.601656,3.91,3.1241
2002-12-31,1.3833,1.45039005,0.0116488421052631,2.22642135,0.77810625,0.875506329113924,0.72471087,0.1590914318573893,0.1993945945945946,28.62,1.34,5.92,4.01777,6.62,0.1,2.857,4.83,0.4675,3.67,2.941
2003-01-31,1.3683,1.4694173700000002,0.0114063021007002,2.2505798400000003,0.8018238,0.8951328012560513,0.7443552000000001,0.1588460645460877,0.1964254952627045,31.17,1.29,5.86,3.98263,5.99,0.1,2.87,4.8,0.502632,3.65,2.8318
2003-02-28,1.3557,1.46130903,0.0114676027744882,2.13346509,0.82358775,0.9110887096774192,0.7564806000000001,0.159400352733686,0.1891322544642857,29.63,1.27,5.82,3.75425,5.69,0.09,2.921,4.75,0.482395,3.61,2.6875
2003-03-31,1.3538,1.475642,0.0114660794443973,2.1376502,0.8183720999999999,0.9212657366451174,0.7497344399999999,0.1597686906237092,0.1860637713029136,29.15,1.23,5.81,3.65503,5.49,0.08,3.201905,4.76,0.176613,3.4,2.53
2003-04-30,1.3545,1.514331,0.0113756613756613,2.1672,0.8481879,0.94482421875,0.7585200000000001,0.1657894736842105,0.1936383130807719,21.21,1.24,5.73,3.64598,5.26,0.08,3.301905,4.79,0.169372,3.42,2.5333
2003-05-31,1.3022,1.53216852,0.0108970711297071,2.13469646,0.84812286,0.949679113185531,0.74993698,0.1676925850567903,0.1945992797047088,19.47,1.22,5.38,3.63252,4.92,0.08,3.322857,4.78,0.162716,3.18,2.4005
2003-06-30,1.3519,1.55495538,0.0112780512221573,2.2345555100000003,0.90753047,0.99712346953828,0.7930245400000001,0.1690191910983309,0.1871271368260779,19.52,1.04,5.23,3.63966,4.04,0.09,3.215714,4.67,0.164295,2.81,2.1519
2003-07-31,1.3736,1.5426901599999998,0.0114067430659358,2.2101224,0.8892686399999999,0.9759840841267584,0.7951770399999999,0.1671046228710462,0.1884742041712404,19.49,1.05,5.11,3.49022,3.45,0.09,3.010455,4.72,0.159799,2.68,2.13
2003-08-31,1.4005,1.5385893000000002,0.0119998286350784,2.20900865,0.9089245,1.0111913357400724,0.8101892500000001,0.1674357993400602,0.186571637913808,18.63,1.08,5.11,3.52249,3.14,0.09,2.854211,4.82,0.145384,2.71,2.1404
